Id,Label,timeset,indegree,outdegree,Degree
tools/spatial-analyst-toolbox/reclassify,SAT/reclassify,,142,0,142
tools/data-management-toolbox/save-to-layer-file,DMT/save-to-layer-file,,16,2,18
tools/data-management-toolbox/make-feature-layer,DMT/make-feature-layer,,15,2,17
tools/data-management-toolbox/copy-features,DMT/copy-features,,15,0,15
tools/spatial-analyst-toolbox/idw,SAT/idw,,7,8,15
tools/spatial-analyst-toolbox/spline,SAT/spline,,7,8,15
tools/spatial-analyst-toolbox/topo-to-raster,SAT/topo-to-raster,,7,8,15
tools/spatial-analyst-toolbox/spline-with-barriers,SAT/spline-with-barriers,,7,8,15
tools/spatial-analyst-toolbox/trend,SAT/trend,,7,8,15
tools/spatial-analyst-toolbox/topo-to-raster-by-file,SAT/topo-to-raster-by-file,,7,8,15
tools/spatial-analyst-toolbox/kriging,SAT/kriging,,7,8,15
tools/spatial-analyst-toolbox/natural-neighbor,SAT/natural-neighbor,,7,8,15
tools/spatial-analyst-toolbox/cost-allocation,SAT/cost-allocation,,3,6,9
tools/spatial-analyst-toolbox/cost-back-link,SAT/cost-back-link,,3,6,9
tools/analysis-toolbox/intersect,AT/intersect,,0,8,8
tools/data-management-toolbox/select-layer-by-location,DMT/select-layer-by-location,,1,7,8
tools/spatial-analyst-toolbox/cost-path,SAT/cost-path,,1,7,8
tools/analysis-toolbox/spatial-join,AT/spatial-join,,3,4,7
tools/spatial-analyst-toolbox/cost-distance,SAT/cost-distance,,3,4,7
tools/spatial-analyst-toolbox/focal-statistics,SAT/focal-statistics,,5,2,7
tools/analysis-toolbox/near,AT/near,,2,4,6
tools/analysis-toolbox/generate-near-table,AT/generate-near-table,,2,4,6
tools/network-analyst-toolbox/make-closest-facility-layer,NAT/make-closest-facility-layer,,1,5,6
tools/network-analyst-toolbox/make-service-area-layer,NAT/make-service-area-layer,,1,5,6
tools/spatial-analyst-toolbox/equal-to-frequency,SAT/equal-to-frequency,,2,4,6
tools/spatial-analyst-toolbox/greater-than-frequency,SAT/greater-than-frequency,,2,4,6
tools/spatial-analyst-toolbox/less-than-frequency,SAT/less-than-frequency,,2,4,6
tools/analysis-toolbox/buffer,AT/buffer,,3,2,5
tools/network-analyst-toolbox/find-closest-facilities,NAT/find-closest-facilities,,1,4,5
tools/network-analyst-toolbox/generate-service-areas,NAT/generate-service-areas,,1,4,5
tools/network-analyst-toolbox/add-locations,NAT/add-locations,,5,0,5
tools/network-analyst-toolbox/solve,NAT/solve,,5,0,5
tools/spatial-analyst-toolbox/block-statistics,SAT/block-statistics,,3,2,5
tools/spatial-analyst-toolbox/log2,SAT/log2,,2,3,5
tools/spatial-analyst-toolbox/log10,SAT/log10,,2,3,5
tools/spatial-analyst-toolbox/nibble,SAT/nibble,,2,3,5
tools/spatial-analyst-toolbox/con-,SAT/con-,,4,1,5
tools/spatial-analyst-toolbox/expand,SAT/expand,,2,3,5
tools/spatial-analyst-toolbox/exp2,SAT/exp2,,2,3,5
tools/spatial-analyst-toolbox/power,SAT/power,,2,3,5
tools/spatial-analyst-toolbox/exp10,SAT/exp10,,2,3,5
tools/spatial-analyst-toolbox/shrink,SAT/shrink,,2,3,5
