keyword	low_search_volume	YEAR	VAR	VAL	n	hits_min	hits_mean	hits_median	hits_max	hits_sum	UID
Amsterdam	FALSE	all	CONTINENT	Africa	561	0	0.037	0	3	21	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	FALSE	all	CONTINENT	Antarctica	11	0	0	0	0	0	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	FALSE	all	CONTINENT	Asia	550	0	0.184	0	3	101	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	FALSE	all	CONTINENT	Europe	550	0	3.187	0	100	1753	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	FALSE	all	CONTINENT	North America	418	0	0.073	0	2	30.5	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	FALSE	all	CONTINENT	Oceania	264	0	0.117	0	1	31	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	FALSE	all	CONTINENT	Seven seas (open ocean)	77	0	0.104	0	8	8	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	FALSE	all	CONTINENT	South America	143	0	0.147	0	1	21	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	FALSE	all	CONTINENT		187	0	0	0	0	0	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	TRUE	all	CONTINENT	Africa	561	0	0.914	1	20	512.5	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	TRUE	all	CONTINENT	Antarctica	11	0	0	0	0	0	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	TRUE	all	CONTINENT	Asia	550	0	0.961	1	5	528.5	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	TRUE	all	CONTINENT	Europe	550	0	4.377	2	100	2407.5	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	TRUE	all	CONTINENT	North America	418	0	1.528	1	19	638.5	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	TRUE	all	CONTINENT	Oceania	264	0	0.371	0	5	98	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	TRUE	all	CONTINENT	Seven seas (open ocean)	77	0	1.104	0.5	9	85	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	TRUE	all	CONTINENT	South America	143	0	1.822	0.5	21	260.5	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	TRUE	all	CONTINENT		187	0	1.433	0	24	268	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	FALSE	all	CONTINENT	Africa	561	0	4.239	0	100	2378	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	FALSE	all	CONTINENT	Antarctica	11	0	0	0	0	0	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	FALSE	all	CONTINENT	Asia	550	0	2.764	0	45	1520	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	FALSE	all	CONTINENT	Europe	550	0	5.466	2.5	100	3006.5	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	FALSE	all	CONTINENT	North America	418	0	1.121	0	100	468.5	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	FALSE	all	CONTINENT	Oceania	264	0	1.273	0	25	336	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	FALSE	all	CONTINENT	Seven seas (open ocean)	77	0	0.935	0	30	72	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	FALSE	all	CONTINENT	South America	143	0	0.325	0	2	46.5	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	FALSE	all	CONTINENT		187	0	0	0	0	0	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	TRUE	all	CONTINENT	Africa	561	0	11.241	4	100	6306	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	TRUE	all	CONTINENT	Antarctica	11	0	0	0	0	0	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	TRUE	all	CONTINENT	Asia	550	0	6.291	4	81	3460	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	TRUE	all	CONTINENT	Europe	550	0	6.226	4	97	3424.5	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	TRUE	all	CONTINENT	North America	418	0	9.152	4	100	3825.5	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	TRUE	all	CONTINENT	Oceania	264	0	4.843	0	74	1278.5	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	TRUE	all	CONTINENT	Seven seas (open ocean)	77	0	5.442	0	28	419	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	TRUE	all	CONTINENT	South America	143	0	4.455	1	51	637	968eef67-c8cf-4879-b8ad-abc50afa72d7
Netherlands	TRUE	all	CONTINENT		187	0	4.687	0	100	876.5	968eef67-c8cf-4879-b8ad-abc50afa72d7
Amsterdam	FALSE	2007	CONTINENT	Africa	51	0	0.059	0	3	3	7731e75f-0f22-481e-b5aa-70838eb27b53
