location	hits	keyword	geo	gprop	GTREND_QUERY	GEOUNIT_TYPE	GEOUNIT_CODE	QUERY_UID	QUERY_BASETERM
Blaricum	100	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Schiphol	76	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Amsterdam	65	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Amsterdam	62	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Amstelveen	44	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Zaandam	40	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Purmerend	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Amsterdam-Zuidoost	38	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Hoofddorp	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Haarlem	28	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Hilversum	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Almere	24	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Alkmaar	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Utrecht	18	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Lelystad	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
The Hague	15	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Leiden	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Amersfoort	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Delft	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Arnhem	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Rotterdam	9	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Apeldoorn	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Eindhoven	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
's-Hertogenbosch	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Breda	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Zwolle	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Nijmegen	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Maastricht	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Groningen	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Tilburg	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Enschede	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Antwerp	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Brussels	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Liverpool	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
London	1	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Dortmund	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Düsseldorf	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Edinburgh	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Frankfurt	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Cologne	1	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Dublin	1	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Glasgow	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Zürich	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Manchester	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Hamburg	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Berlin	1	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Munich	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Stuttgart	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Naples	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Paris	1	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Vienna	1	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Milan	1	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Rome	1	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Barcelona	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
New York	1	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Stockholm	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Tel Aviv-Yafo	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Dubai	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Madrid	<1	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Prague	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Toronto	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Bucharest	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Singapore	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Melbourne	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Sydney	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Warsaw	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Istanbul	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Los Angeles	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Buenos Aires	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Mexico City	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Bengaluru	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
New Delhi	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Jakarta	""	Amsterdam	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	TRUE
Almere	100	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Lelystad	15	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Zeewolde	14	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Dronten	9	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Naarden	8	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
Weesp	""	Almere	world	web	Amsterdam;Almere	municipality	GM0034	c098b6da-a78a-4199-806d-9fa82ce3e3e6	FALSE
